## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../Processed_bams/GRL1693.rgadded.bam] OUTPUT=../Processed_bams/GRL1693.rgadded.mkdup.bam METRICS_FILE=Results/GRL1693_duplicate_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Sep 11 14:52:53 EEST 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
GRL1693	27759	2037963	10329	107503	7348	8373	4184	0.005871	493026426

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.002053
2.0	1.999972
3.0	2.993776
4.0	3.983479
5.0	4.9691
6.0	5.950655
7.0	6.928162
8.0	7.901636
9.0	8.871094
10.0	9.836553
11.0	10.79803
12.0	11.755541
13.0	12.709102
14.0	13.658729
15.0	14.604439
16.0	15.546248
17.0	16.484172
18.0	17.418227
19.0	18.348429
20.0	19.274794
21.0	20.197338
22.0	21.116076
23.0	22.031024
24.0	22.942198
25.0	23.849613
26.0	24.753286
27.0	25.65323
28.0	26.549462
29.0	27.441998
30.0	28.330851
31.0	29.216038
32.0	30.097574
33.0	30.975473
34.0	31.84975
35.0	32.720422
36.0	33.587501
37.0	34.451004
38.0	35.310945
39.0	36.167339
40.0	37.0202
41.0	37.869543
42.0	38.715383
43.0	39.557733
44.0	40.396608
45.0	41.232024
46.0	42.063993
47.0	42.89253
48.0	43.717649
49.0	44.539365
50.0	45.357691
51.0	46.172641
52.0	46.98423
53.0	47.792471
54.0	48.597378
55.0	49.398964
56.0	50.197244
57.0	50.992231
58.0	51.783939
59.0	52.572381
60.0	53.35757
61.0	54.139521
62.0	54.918246
63.0	55.693759
64.0	56.466072
65.0	57.2352
66.0	58.001155
67.0	58.763951
68.0	59.5236
69.0	60.280115
70.0	61.03351
71.0	61.783797
72.0	62.530989
73.0	63.275099
74.0	64.016139
75.0	64.754123
76.0	65.489062
77.0	66.220969
78.0	66.949858
79.0	67.67574
80.0	68.398627
81.0	69.118533
82.0	69.835468
83.0	70.549447
84.0	71.26048
85.0	71.96858
86.0	72.67376
87.0	73.37603
88.0	74.075404
89.0	74.771892
90.0	75.465508
91.0	76.156262
92.0	76.844167
93.0	77.529234
94.0	78.211476
95.0	78.890903
96.0	79.567527
97.0	80.24136
98.0	80.912414
99.0	81.5807
100.0	82.246228

