## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../Processed_bams/GRL1694.rgadded.bam] OUTPUT=../Processed_bams/GRL1694.rgadded.mkdup.bam METRICS_FILE=Results/GRL1694_duplicate_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Sep 11 14:58:13 EEST 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
GRL1694	41466	2065868	15788	80978	11151	9005	4156	0.006988	437614861

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.002011
2.0	1.999303
3.0	2.991898
4.0	3.979818
5.0	4.963086
6.0	5.941723
7.0	6.915751
8.0	7.885191
9.0	8.850066
10.0	9.810397
11.0	10.766204
12.0	11.717511
13.0	12.664337
14.0	13.606704
15.0	14.544632
16.0	15.478144
17.0	16.407258
18.0	17.331998
19.0	18.252381
20.0	19.168431
21.0	20.080166
22.0	20.987607
23.0	21.890774
24.0	22.789688
25.0	23.684368
26.0	24.574835
27.0	25.461108
28.0	26.343207
29.0	27.221152
30.0	28.094961
31.0	28.964656
32.0	29.830254
33.0	30.691776
34.0	31.549241
35.0	32.402667
36.0	33.252074
37.0	34.09748
38.0	34.938905
39.0	35.776367
40.0	36.609885
41.0	37.439477
42.0	38.265163
43.0	39.086959
44.0	39.904886
45.0	40.71896
46.0	41.5292
47.0	42.335625
48.0	43.138251
49.0	43.937097
50.0	44.732181
51.0	45.523521
52.0	46.311133
53.0	47.095037
54.0	47.875248
55.0	48.651785
56.0	49.424664
57.0	50.193904
58.0	50.959521
59.0	51.721532
60.0	52.479954
61.0	53.234805
62.0	53.9861
63.0	54.733857
64.0	55.478093
65.0	56.218823
66.0	56.956065
67.0	57.689835
68.0	58.420148
69.0	59.147023
70.0	59.870474
71.0	60.590518
72.0	61.307171
73.0	62.020448
74.0	62.730366
75.0	63.436941
76.0	64.140189
77.0	64.840124
78.0	65.536762
79.0	66.23012
80.0	66.920213
81.0	67.607055
82.0	68.290663
83.0	68.971051
84.0	69.648234
85.0	70.322229
86.0	70.993049
87.0	71.660709
88.0	72.325226
89.0	72.986613
90.0	73.644885
91.0	74.300056
92.0	74.952142
93.0	75.601157
94.0	76.247116
95.0	76.890032
96.0	77.52992
97.0	78.166795
98.0	78.80067
99.0	79.43156
100.0	80.059478

