## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectWgsMetrics INPUT=../Processed_bams/GRL1693.rgadded.mkdup.bam OUTPUT=Results/GRL1693_collect_wgs_metrics.txt REFERENCE_SEQUENCE=../Reference_files/genome/Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Sep 11 14:54:54 EEST 2018

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
12157105	58.898636	22.407753	58	8	0.081793	0.004428	0.004287	0.051484	0.069403	0.073265	0.28466	0.980809	0.976339	0.973333	0.971272	0.969564	0.967489	0.96426	0.934865	0.780747	0.452811	0.175851	0.057519	0.021356	0.010917	0.978774	17

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	233304
1	20938
2	13385
3	10581
4	9447
5	8438
6	7688
7	7317
8	6670
9	6430
10	6209
11	5165
12	4601
13	4554
14	4518
15	4169
16	4244
17	4001
18	4095
19	4263
20	4595
21	4916
22	5055
23	5176
24	5478
25	5864
26	6774
27	7677
28	8714
29	10228
30	12362
31	15055
32	18434
33	22480
34	27699
35	34011
36	41254
37	50004
38	61699
39	74365
40	89395
41	106336
42	124993
43	146461
44	169358
45	193555
46	219497
47	247656
48	273820
49	302549
50	328520
51	352968
52	374755
53	393770
54	407092
55	420115
56	425789
57	430195
58	429984
59	423566
60	415328
61	403674
62	389233
63	371628
64	351984
65	331146
66	310166
67	286453
68	264622
69	242801
70	221646
71	201291
72	181290
73	163701
74	146230
75	130510
76	116446
77	103885
78	92315
79	81259
80	72236
81	64065
82	56335
83	49404
84	43779
85	38822
86	34448
87	30189
88	26914
89	23447
90	20509
91	18079
92	16102
93	14436
94	12758
95	11230
96	10312
97	8975
98	7660
99	6846
100	6038
101	5236
102	4549
103	3956
104	3424
105	2901
106	2460
107	2045
108	1640
109	1468
110	1173
111	1018
112	808
113	612
114	503
115	398
116	331
117	283
118	226
119	210
120	169
121	145
122	148
123	142
124	120
125	132
126	128
127	134
128	105
129	117
130	107
131	115
132	83
133	92
134	93
135	93
136	86
137	77
138	82
139	47
140	64
141	55
142	54
143	49
144	55
145	44
146	41
147	45
148	56
149	67
150	50
151	36
152	46
153	47
154	42
155	48
156	46
157	65
158	77
159	71
160	64
161	68
162	71
163	52
164	79
165	71
166	52
167	33
168	39
169	50
170	26
171	35
172	38
173	29
174	32
175	32
176	38
177	24
178	36
179	22
180	29
181	18
182	24
183	30
184	25
185	27
186	24
187	41
188	31
189	30
190	37
191	36
192	21
193	27
194	24
195	20
196	20
197	29
198	17
199	26
200	8
201	16
202	21
203	20
204	17
205	24
206	15
207	22
208	16
209	11
210	9
211	7
212	7
213	11
214	6
215	9
216	9
217	13
218	3
219	14
220	9
221	7
222	9
223	11
224	10
225	10
226	8
227	8
228	6
229	10
230	10
231	10
232	9
233	11
234	10
235	6
236	7
237	7
238	4
239	4
240	11
241	9
242	7
243	6
244	9
245	14
246	8
247	9
248	5
249	7
250	88232

